RefPeriod,refArea,Age,Sex,Value,UCL,LCL,sampleSize
apr-2012-to-mar-2013,england-and-wales,16-years-and-over,male,84.7,86-1,83-3,3690
apr-2012-to-mar-2013,england-and-wales,16-years-and-over,female,56.7,58-5,54-9,4330
apr-2013-to-mar-2014,england-and-wales,16-years-and-over,male,85.1,86-4,83-7,3800
apr-2013-to-mar-2014,england-and-wales,16-years-and-over,female,58.0,59-7,56-2,4500
apr-2014-to-mar-2015,england-and-wales,16-years-and-over,male,85.8,87-1,84-4,3540
apr-2014-to-mar-2015,england-and-wales,16-years-and-over,female,61.8,63-5,60-0,4290
apr-2015-to-mar-2016,england-and-wales,16-years-and-over,male,87.9,89-1,86-7,3870
apr-2015-to-mar-2016,england-and-wales,16-years-and-over,female,61.7,63-4,60-0,4520
apr-2016-to-mar-2017,england-and-wales,16-years-and-over,male,0.0,0-0,0-0,0
apr-2016-to-mar-2017,england-and-wales,16-years-and-over,female,0.0,0-0,0-0,0
apr-2017-to-mar-2018,england-and-wales,16-years-and-over,male,87.2,88-4,85-9,3840
apr-2017-to-mar-2018,england-and-wales,16-years-and-over,female,63.7,65-5,62-0,4390
apr-2018-to-mar-2019,england-and-wales,16-years-and-over,male,88.4,89-5,87-2,3720
apr-2018-to-mar-2019,england-and-wales,16-years-and-over,female,68.8,70-5,67-2,4400
apr-2019-to-mar-2020,england-and-wales,16-years-and-over,male,86.8,88-1,85-6,3650
apr-2019-to-mar-2020,england-and-wales,16-years-and-over,female,69.0,70-6,67-4,4250
apr-2020-to-mar-2021,england-and-wales,16-years-and-over,male,0.0,0-0,0-0,0
apr-2020-to-mar-2021,england-and-wales,16-years-and-over,female,0.0,0-0,0-0,0
apr-2021-to-mar-2022,england-and-wales,16-years-and-over,male,0.0,0-0,0-0,0
apr-2021-to-mar-2022,england-and-wales,16-years-and-over,female,0.0,0-0,0-0,0
apr-2022-to-mar-2023,england-and-wales,16-years-and-over,male,89.7,90-9,88-4,3460
apr-2022-to-mar-2023,england-and-wales,16-years-and-over,female,69.0,70-7,67-2,3900
apr-2022-to-mar-2023,england,16-years-and-over,male,89.6,90-8,88-3,3200
apr-2022-to-mar-2023,england,16-years-and-over,female,69.0,70-8,67-2,3600
apr-2022-to-mar-2023,north-east,16-years-and-over,male,89.4,93-2,83-9,180
apr-2022-to-mar-2023,north-east,16-years-and-over,female,59.8,68-2,50-7,210
apr-2022-to-mar-2023,north-west,16-years-and-over,male,90.4,92-9,87-1,420
apr-2022-to-mar-2023,north-west,16-years-and-over,female,66.1,71-1,60-8,470
apr-2022-to-mar-2023,yorkshire-and-the-humber,16-years-and-over,male,87.2,91-6,81-0,260
apr-2022-to-mar-2023,yorkshire-and-the-humber,16-years-and-over,female,67.9,74-0,61-2,320
apr-2022-to-mar-2023,east-midlands,16-years-and-over,male,89.3,92-6,84-8,360
apr-2022-to-mar-2023,east-midlands,16-years-and-over,female,70.2,75-7,64-1,370
apr-2022-to-mar-2023,west-midlands,16-years-and-over,male,87.4,90-5,83-5,420
apr-2022-to-mar-2023,west-midlands,16-years-and-over,female,62.3,67-2,57-1,450
apr-2022-to-mar-2023,east-of-england,16-years-and-over,male,89.4,92-7,85-0,370
apr-2022-to-mar-2023,east-of-england,16-years-and-over,female,69.8,74-6,64-5,440
apr-2022-to-mar-2023,london,16-years-and-over,male,90.4,93-6,85-8,360
apr-2022-to-mar-2023,london,16-years-and-over,female,75.1,79-8,69-7,400
apr-2022-to-mar-2023,south-east,16-years-and-over,male,90.7,93-3,87-1,490
apr-2022-to-mar-2023,south-east,16-years-and-over,female,67.9,72-2,63-3,550
apr-2022-to-mar-2023,south-west,16-years-and-over,male,91.1,94-2,86-5,340
apr-2022-to-mar-2023,south-west,16-years-and-over,female,75.3,80-0,70-0,390
apr-2022-to-mar-2023,wales,16-years-and-over,male,91.1,94-7,85-4,260
apr-2022-to-mar-2023,wales,16-years-and-over,female,68.1,74-5,60-9,300
apr-2022-to-mar-2023,england-and-wales,16-to-24,male,85.2,90-2,78-2,180
apr-2022-to-mar-2023,england-and-wales,16-to-24,female,68.8,76-4,59-9,160
apr-2022-to-mar-2023,england-and-wales,25-to-34,male,92.4,94-7,89-2,500
apr-2022-to-mar-2023,england-and-wales,25-to-34,female,68.1,72-6,63-3,560
apr-2022-to-mar-2023,england-and-wales,35-to-44,male,90.5,92-9,87-4,540
apr-2022-to-mar-2023,england-and-wales,35-to-44,female,71.6,75-4,67-5,640
apr-2022-to-mar-2023,england-and-wales,45-to-54,male,91.7,94-0,88-6,520
apr-2022-to-mar-2023,england-and-wales,45-to-54,female,74.1,78-0,69-8,580
apr-2022-to-mar-2023,england-and-wales,55-to-64,male,91.3,93-4,88-6,620
apr-2022-to-mar-2023,england-and-wales,55-to-64,female,69.2,73-1,65-1,680
apr-2022-to-mar-2023,england-and-wales,65-to-74,male,88.4,91-0,85-3,610
apr-2022-to-mar-2023,england-and-wales,65-to-74,female,67.9,72-0,63-7,660
apr-2022-to-mar-2023,england-and-wales,75-and-over,male,84.6,87-8,80-7,510
apr-2022-to-mar-2023,england-and-wales,75-and-over,female,60.6,64-7,56-3,620
